method,model,n_stations,device,n_gpus,n_cpus,K,runtime_s,metric,success_rate,path,p_f1,s_f1
playback,EQTransformer,250,cpu,0,5,5.0,4.8721774,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQTransformer/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9063829787234042,0.9608247422680413
playback,EQTransformer,250,cpu,0,10,10.0,3.2362292,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQTransformer/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9063829787234042,0.9608247422680413
playback,EQTransformer,250,gpu,1,5,4.0,0.9887658,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQTransformer/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.9087048832271761,0.9608247422680413
playback,EQTransformer,580,cpu,0,5,5.0,11.4820436,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQTransformer/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9656387665198237
playback,EQTransformer,580,cpu,0,10,10.0,7.6587072,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQTransformer/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9656387665198237
playback,EQTransformer,580,cpu,0,20,20.0,6.8029178,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQTransformer/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9656387665198237
playback,EQTransformer,580,gpu,1,5,4.0,1.4360736,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQTransformer/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.9152854511970534,0.9656387665198237
playback,PhaseNet,250,cpu,0,5,5.0,1.681174,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNet/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9641434262948207,0.9336016096579478
playback,PhaseNet,250,cpu,0,10,10.0,0.997333,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNet/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9641434262948207,0.9336016096579478
playback,PhaseNet,250,gpu,1,5,2.0,0.3471226,makespan_s,1.0,ma/annotate_bf16/stead/250st/PhaseNet/gpu/kma2_krp0/sg/playback/static/bs512/xfer/result.json,0.9620758483033932,0.9314516129032259
playback,PhaseNet,580,cpu,0,5,5.0,3.356858,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNet/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9742710120068611,0.9365351629502573
playback,PhaseNet,580,cpu,0,10,10.0,2.3769016,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNet/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9742710120068611,0.9365351629502573
playback,PhaseNet,580,cpu,0,20,20.0,2.289269,makespan_s,1.0,ma/annotate_bf16/stead/580st/PhaseNet/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.9742710120068611,0.9365351629502573
